# loss loss_val
2.2621 2.1686
2.2455 2.2514
2.2014 2.1819
2.2186 2.2138
2.2103 2.1747
2.2459 2.2362
2.2264 2.2306
2.3120 2.2774
2.1579 2.1678
2.2290 2.2147
2.1853 2.2355
2.2073 2.2208
2.2022 2.2006
2.2365 2.2333
2.2258 2.1370
2.0987 2.2114
2.2438 2.0913
2.1408 2.1063
2.1680 2.1951
2.1491 2.2618
2.2859 2.2113
2.2387 2.2559
2.2316 2.2471
2.2332 2.1446
2.2321 2.2176
2.1588 2.2975
2.2158 2.2496
2.1826 2.2082
2.2139 2.1685
2.1961 2.1542
2.2374 2.2664
2.2216 2.1978
2.2022 2.2621
2.1612 2.2162
2.1891 2.2470
2.2312 2.1816
2.1401 2.2320
2.2195 2.2198
2.1838 2.2274
2.2734 2.3217
2.1834 2.3074
2.2924 2.1842
2.2324 2.1961
2.2801 2.2166
2.2086 2.2222
2.2027 2.1800
2.2023 2.2878
2.2288 2.3064
2.2398 2.2292
2.1949 2.2689
2.2441 2.2307
2.1989 2.2250
2.1904 2.2195
2.2020 2.1742
2.1806 2.2937
2.3052 2.2487
2.1832 2.1501
2.2351 2.2331
2.1980 2.2588
2.1925 2.2010
2.2231 2.2694
2.2041 2.2396
2.2125 2.2723
2.2832 2.2018
2.2324 2.2629
2.2271 2.2613
2.1727 2.2510
2.1768 2.2595
2.2182 2.2594
2.1750 2.2007
2.2070 2.2220
2.2682 2.1992
2.1621 2.1486
2.2579 2.1832
2.1702 2.2710
2.2049 2.2270
2.2841 2.1936
2.1516 2.1943
2.2630 2.2430
2.1648 2.2162
2.2248 2.3307
2.2435 2.2131
2.2215 2.2641
2.1718 2.1659
2.1641 2.2127
2.1749 2.2005
2.1299 2.2255
2.1665 2.1575
2.1907 2.2025
2.1337 2.1960
2.2334 2.1731
2.2441 2.2042
2.2291 2.2398
2.2165 2.1817
2.1774 2.2836
2.2422 2.1741
2.2106 2.3073
2.1882 2.1406
2.1770 2.2497
2.2083 2.2445
2.1912 2.1943
2.1605 2.1963
2.1643 2.2222
2.2347 2.2625
2.1341 2.1914
2.1858 2.3301
2.2484 2.2367
2.2266 2.2200
2.2956 2.2620
2.2935 2.2339
2.2319 2.2517
2.2263 2.2165
2.2151 2.2487
2.1573 2.2307
2.1987 2.1446
2.2229 2.2518
2.1783 2.2022
2.1695 2.1520
2.1764 2.2098
2.1538 2.1842
2.1672 2.2747
2.1165 2.1827
2.1623 2.2613
2.2201 2.2326
2.2127 2.1934
2.2489 2.1932
2.2634 2.1975
2.2449 2.2298
2.2101 2.1876
2.1378 2.2245
2.2757 2.2080
2.2683 2.2158
2.1768 2.1856
2.1895 2.2572
2.2362 2.3158
2.1647 2.2044
2.2560 2.2180
2.1860 2.1467
2.1840 2.2825
2.1884 2.2691
2.1787 2.2350
2.2080 2.2405
2.2314 2.2620
2.2394 2.1914
2.2862 2.2078
2.1918 2.1800
2.2318 2.2246
2.2341 2.2214
2.2072 2.1833
2.2246 2.2578
2.2096 2.2611
2.2969 2.2445
2.1543 2.2794
2.2402 2.2173
2.2658 2.2111
2.1581 2.1844
2.2169 2.2479
2.1898 2.2044
2.2449 2.2150
2.1905 2.3092
2.2526 2.2286
2.2281 2.2202
2.3035 2.1888
2.2326 2.2694
2.1878 2.2499
2.2492 2.2665
2.2392 2.2890
2.2035 2.1893
2.1863 2.3453
2.2163 2.2067
2.2080 2.2049
2.2399 2.2839
2.2416 2.2547
2.2423 2.2258
2.2470 2.2029
2.1850 2.2728
2.2195 2.1861
2.2395 2.2207
2.2749 2.1714
2.2503 2.2099
2.2487 2.1480
2.1857 2.2955
2.2728 2.1954
2.2338 2.2561
2.2380 2.2793
2.2189 2.1475
2.1634 2.3199
2.2733 2.2431
2.1471 2.2526
2.2182 2.2714
2.2288 2.1871
2.2015 2.2774
2.1904 2.2791
2.2124 2.1726
2.1980 2.2317
2.1897 2.2161
2.1681 2.2681
2.2132 2.1705
2.2542 2.2150
2.2230 2.2050
2.1888 2.1707
2.1767 2.2397
2.2120 2.2391
2.1868 2.1557
2.1429 2.1884
2.2371 2.1791
2.2037 2.2454
2.2596 2.2234
2.2081 2.2312
2.1893 2.2374
2.2480 2.1765
2.1971 2.1394
2.2892 2.2211
2.1576 2.2452
2.1691 2.2258
2.2054 2.2610
2.1492 2.1824
2.1991 2.2058
2.1803 2.1621
2.2304 2.2681
2.1985 2.1889
2.2517 2.2487
2.1738 2.2385
2.2074 2.2558
2.1359 2.1581
2.2059 2.2626
2.2381 2.2605
2.2281 2.2120
2.2178 2.1418
2.1128 2.2534
2.1827 2.1799
2.1914 2.2367
2.2013 2.1583
2.2297 2.2501
2.2515 2.1994
2.2036 2.2368
2.1941 2.1575
2.2032 2.2357
2.1373 2.2329
2.2102 2.2063
2.2158 2.1375
2.1980 2.2124
2.2083 2.1443
2.1712 2.1813
2.2538 2.2137
2.1730 2.1599
2.2264 2.2627
2.2005 2.2090
2.1810 2.2261
2.2117 2.2134
2.1645 2.1662
2.1789 2.2315
2.1699 2.1337
2.1253 2.2061
2.1963 2.2689
2.2289 2.2455
2.1979 2.1903
2.2173 2.2020
2.2405 2.1746
2.2053 2.2106
2.2012 2.1927
2.1796 2.2573
2.2168 2.2077
2.2512 2.1628
2.2498 2.2129
2.2029 2.2092
2.2168 2.1903
2.2044 2.1382
2.1606 2.2169
2.2577 2.1987
2.1716 2.1649
2.1999 2.1920
2.2042 2.2356
2.2225 2.2370
2.2304 2.1750
2.2230 2.2638
2.2029 2.2585
2.2105 2.2502
2.1791 2.2108
2.2198 2.1386
2.2056 2.2124
2.2760 2.2158
2.1780 2.1971
2.2504 2.1041
2.2355 2.1802
2.1407 2.2793
2.2240 2.2966
2.2440 2.1565
2.2291 2.2066
2.1766 2.2364
2.1971 2.2699
2.1964 2.1861
2.1539 2.1842
2.1588 2.2112
2.2190 2.1721
2.1924 2.2360
2.1388 2.1957
2.2437 2.1824
2.1674 2.2478
2.2640 2.2648
2.2257 2.2325
2.3198 2.2446
2.2110 2.2012
2.2188 2.2722
2.2424 2.1890
2.2603 2.2746
2.2477 2.1649
2.1939 2.1596
2.2576 2.1516
2.2383 2.2082
2.2281 2.2622
2.1749 2.2108
2.2265 2.1305
2.2281 2.2173
2.2125 2.2019
2.2524 2.2299
2.1782 2.2255
2.2013 2.1678
2.2475 2.1583
2.2061 2.2113
2.2635 2.2054
2.2172 2.1865
2.2109 2.2674
2.2645 2.2671
2.1703 2.2050
2.2283 2.2894
2.1702 2.2152
2.2096 2.2334
2.2680 2.1854
2.2325 2.2855
2.2369 2.2197
2.2249 2.2012
2.2194 2.3342
2.3024 2.2600
2.2215 2.2194
2.1281 2.1122
2.2398 2.1983
2.1482 2.1586
2.2106 2.2415
2.1715 2.2338
2.2169 2.2002
2.2653 2.1685
2.0966 2.2029
2.2127 2.2208
2.1968 2.1819
2.1753 2.2117
2.1981 2.2461
2.1455 2.2355
2.2114 2.1415
2.1773 2.2809
2.0874 2.2683
2.1974 2.2128
2.2101 2.2447
2.2522 2.1734
2.1902 2.2066
2.2046 2.1999
2.2255 2.1759
2.2251 2.1604
2.2457 2.2338
2.1780 2.2871
2.2546 2.2401
2.2636 2.2809
2.1656 2.2768
2.1791 2.2023
2.2078 2.1820
2.1615 2.2719
2.1739 2.1604
