# loss loss_val
6.1808 6.1833
6.2062 6.1459
6.1756 6.2154
6.2030 6.1941
6.1639 6.1943
6.1836 6.1224
6.1605 6.2508
6.1616 6.1658
6.1201 6.1966
6.1940 6.1677
6.1710 6.2139
6.1464 6.1992
6.1560 6.1872
6.1715 6.1919
6.1533 6.2260
6.1669 6.1242
6.1363 6.1476
6.2015 6.1616
6.1770 6.1538
6.1909 6.1137
6.1485 6.1607
6.2112 6.1960
6.1018 6.1648
6.1601 6.1455
6.1692 6.1504
6.1061 6.1000
6.0859 6.2126
6.1318 6.1875
6.1542 6.1999
6.1716 6.2033
6.0868 6.1251
6.1557 6.1432
6.1954 6.1797
6.1803 6.2197
6.1694 6.1532
6.1478 6.1499
6.1935 6.1344
6.1881 6.1790
6.1872 6.1290
6.2136 6.1799
6.1614 6.1617
6.1361 6.1802
6.1789 6.1561
6.1904 6.1325
6.1506 6.2128
6.0875 6.1703
6.1945 6.1417
6.1306 6.1872
6.1703 6.1882
6.1542 6.1688
6.1256 6.1430
6.1743 6.2230
6.1955 6.2054
6.1528 6.1875
6.1270 6.2165
6.1678 6.1942
6.1425 6.1394
6.1192 6.1985
6.1590 6.1787
6.2247 6.1673
6.1532 6.1566
6.0966 6.1869
6.1568 6.1862
6.2113 6.1930
6.2035 6.1979
6.0987 6.2355
6.1593 6.1616
6.1074 6.0985
6.1588 6.2233
6.1477 6.2128
6.1387 6.1698
6.1220 6.2203
6.2532 6.2088
6.1602 6.1516
